Make,Model,Type
ACURA,MDX,MID-SIZE SUV
ACURA,ILX,MEDIUM SEDAN
ACURA,RDX,COMPACT SUV
ACURA,TLX,MEDIUM SEDAN
ACURA,TL,FULL-SIZE SEDAN
ACURA,TSX,MEDIUM SEDAN
ACURA,RLX,MEDIUM SEDAN
ALFA ROMEO,GIULIA,MEDIUM SEDAN
ALFA ROMEO,STELVIO,COMPACT SUV
ASTON MARTIN,V8 VANTAGE,FULL-SIZE SEDAN
AUDI,A4,MEDIUM SEDAN
AUDI,A3,ECONOMY 
AUDI,Q5,MID-SIZE SUV
AUDI,Q3,COMPACT SUV
AUDI,A6,FULL-SIZE SEDAN
Audi,A5,FULL-SIZE SEDAN
AUDI,A7,FULL-SIZE SEDAN
AUDI,A3 SEDAN,ECONOMY 
AUDI,Q7,FULL-SIZE SUV
AUDI,S5,FULL-SIZE SEDAN
AUDI,S4,MEDIUM SEDAN
BENTLEY,BENTAYGA,MID-SIZE SUV
BMW,3 SERIES,MEDIUM SEDAN
BMW,X1,COMPACT SUV
BMW,5 SERIES,FULL-SIZE SEDAN
BMW,X3,MID-SIZE SUV
BMW,X5,MID-SIZE SUV
BMW,4 SERIES,MEDIUM SEDAN
BMW,2 SERIES,ECONOMY 
BMW,X6,FULL-SIZE SUV
BMW,6 SERIES,FULL-SIZE SEDAN
BMW,X4,MID-SIZE SUV
BMW,X2,COMPACT SUV
BMW,7 SERIES,FULL-SIZE SEDAN
BMW,M3,MEDIUM SEDAN
BMW,1 SERIES,ECONOMY 
BMW,5 SERIES GRAN TURISMO,FULL-SIZE SEDAN
BMW,3-SERIES,MEDIUM SEDAN
BMW,Z4,MEDIUM SEDAN
BMW,I3 SERIES,MEDIUM SEDAN
BUICK,ENCORE,COMPACT SUV
BUICK,ENCLAVE,MID-SIZE SUV
BUICK,LACROSSE,FULL-SIZE SUV
BUICK,REGAL,MEDIUM SEDAN
BUICK,VERANO,MEDIUM SEDAN
BUICK,ENCORE GX,COMPACT SUV
BUICK,ENVISION,COMPACT SUV
BUICK,CASCADA,ECONOMY 
BUICK,ENCLAVE 2WD,MID-SIZE SUV
BUICK,ENCORE GX 2WD,COMPACT SUV
BUICK,ENCORE AWD,COMPACT SUV
Buick,HIGHLANDER,MID-SIZE SUV
CADILLAC,ATS,MEDIUM SEDAN
CADILLAC,SRX,MID-SIZE SUV
CADILLAC,XTS,FULL-SIZE SEDAN
CADILLAC,ESCALADE,FULL-SIZE SUV
CADILLAC,XT5,MID-SIZE SUV
CADILLAC,CTS,ECONOMY 
CADILLAC,ATS SEDAN,MEDIUM SEDAN
CADILLAC,SRX-V6,MID-SIZE SUV
CADILLAC,CTS-V6,ECONOMY 
CADILLAC,CTS SEDAN,MEDIUM SEDAN
CADILLAC,CTS COUPE,MEDIUM SEDAN
CADILLAC,XT4,COMPACT SUV
CADILLAC,ESCALADE ESV,FULL-SIZE SUV
CADILLAC,ESCALADE-V8,FULL-SIZE SUV
CADILLAC,CT6,FULL-SIZE SEDAN
CHEVROLET,SILVERADO 1500,FULL-SIZE TRUCK
CHEVROLET,MALIBU,FULL-SIZE SEDAN
CHEVROLET,EQUINOX,MID-SIZE SUV
CHEVROLET,CRUZE,ECONOMY 
CHEVROLET,CAMARO,FULL-SIZE SEDAN
CHEVROLET,TRAX,ECONOMY 
CHEVROLET,TRAVERSE,MID-SIZE SUV
CHEVROLET,IMPALA,FULL-SIZE SEDAN
CHEVROLET,COLORADO,MID-SIZE TRUCK
CHEVROLET,TAHOE,FULL-SIZE SUV
CHEVROLET,SONIC,ECONOMY 
CHEVROLET,SPARK,ECONOMY 
CHEVROLET,CRUZE LIMITED,ECONOMY 
CHEVROLET,SUBURBAN,FULL-SIZE SUV
CHEVROLET,SUBURBAN 1500,FULL-SIZE SUV
CHEVROLET,SILVERADO 2500HD,FULL-SIZE TRUCK
CHEVROLET,MALIBU LIMITED,MEDIUM SEDAN
CHEVROLET,SILVERADO 1500 LD,FULL-SIZE TRUCK
CHEVROLET,TRAILBLAZER,FULL-SIZE SUV
CHEVROLET,SILVERADO 1500 CREW CAB,FULL-SIZE TRUCK
CHEVROLET,SILVERADO 1500 LTD,FULL-SIZE TRUCK
CHEVROLET,EXPRESS CARGO VAN,VAN
CHEVROLET,BLAZER,FULL-SIZE SUV
CHEVROLET,MEDIUM DUTY CARGO VANS,VAN
CHEVROLET,COLORADO CREW CAB,MID-SIZE TRUCK
CHEVROLET,SILVERADO 2500 HD,FULL-SIZE TRUCK
CHEVROLET,IMPALA LIMITED,FULL-SIZE SEDAN
CHEVROLET,CORVETTE,FULL-SIZE SEDAN
CHEVROLET,AVALANCHE,FULL-SIZE TRUCK
Chevrolet,SILVERADO 1500 LIMITED,FULL-SIZE TRUCK
CHEVROLET,TRAVERSE 2WD,MID-SIZE SUV
CHEVROLET,VOLT,ECONOMY 
CHEVROLET,SILVERADO 3500,FULL-SIZE TRUCK
CHEVROLET,SILVERADO 1500 LD DOUBLE CAB,FULL-SIZE TRUCK
CHEVROLET,TRAX AWD,COMPACT SUV
CHEVROLET,G3500 VAN,VAN
CHRYSLER,300,FULL-SIZE SEDAN
CHRYSLER,200,MEDIUM SEDAN
CHRYSLER,PACIFICA,VAN
CHRYSLER,TOWN & COUNTRY,VAN
CHRYSLER,VOYAGER,VAN
CHRYSLER,200-4 CYL.,MEDIUM SEDAN
CHRYSLER,TOWN & COUNTRY-V6,VAN
DODGE,CHARGER,FULL-SIZE SEDAN
DODGE,JOURNEY,MID-SIZE SUV
DODGE,CHALLENGER,FULL-SIZE SEDAN
DODGE,GRAND CARAVAN,VAN
DODGE,DURANGO,FULL-SIZE SUV
DODGE,DART,MEDIUM SEDAN
DODGE,CHALLENGER-V8,FULL-SIZE SEDAN
DODGE,GRAND CARAVAN PASSENGER,VAN
DODGE,AVENGER,MEDIUM SEDAN
DODGE,CHARGER-V6,FULL-SIZE SEDAN
DODGE,CHARGER-V8,FULL-SIZE SEDAN
DODGE,JOURNEY-V6,MID-SIZE SUV
DODGE,DURANGO-V6,FULL-SIZE SUV
DODGE,RAM 1500 PICKUP-V8,FULL-SIZE TRUCK
DODGE,RAM 1500,FULL-SIZE TRUCK
DODGE,JETTA,MEDIUM SEDAN
DODGE,CHALLENGER-V6,ECONOMY 
DODGE,JOURNEY-4 CYL.,MID-SIZE SUV
DODGE,AVENGER-V6,MEDIUM SEDAN
DODGE,AVENGER-4 CYL.,MEDIUM SEDAN
FIAT,500,ECONOMY 
FIAT,500X,COMPACT SUV
FIAT,500L,COMPACT SUV
FIAT,500C,ECONOMY 
FORD,FUSION,FULL-SIZE SEDAN
FORD,MUSTANG,FULL-SIZE SEDAN
FORD,ESCAPE,MID-SIZE SUV
FORD,EXPLORER,FULL-SIZE SUV
FORD,FOCUS,ECONOMY 
FORD,F-150,FULL-SIZE TRUCK
FORD,F150 PICKUP,FULL-SIZE TRUCK
FORD,F150,FULL-SIZE TRUCK
FORD,FIESTA,ECONOMY 
FORD,EDGE,MID-SIZE SUV
FORD,ECOSPORT,COMPACT SUV
FORD,EXPLORER-V6,FULL-SIZE SUV
FORD,TAURUS,FULL-SIZE SEDAN
FORD,FLEX,FULL-SIZE SUV
FORD,EXPEDITION,FULL-SIZE SUV
FORD,FUSION HYBRID,FULL-SIZE SEDAN
FORD,F150 SUPERCREW-V8,FULL-SIZE TRUCK
FORD,ESCAPE-4 CYL.,MID-SIZE SUV
FORD,TRANSIT CONNECT,VAN
FORD,EXPEDITION EL,FULL-SIZE SUV
FORD,F250 SUPER DUTY,FULL-SIZE TRUCK
FORD,TRANSIT COMMERCIAL VANS,VAN
FORD,FLEX-V6,FULL-SIZE SUV
FORD,F150 SUPERCREW CAB,FULL-SIZE TRUCK
FORD,F250 SUPER DUTY-V8,FULL-SIZE TRUCK
FORD,TRANSIT CARGO VAN,VAN
FORD,TRANSIT VAN,VAN
FORD,TRANSIT CONNECT VAN,VAN
FORD,F350 SUPER DUTY,FULL-SIZE TRUCK
FORD,C-MAX,ECONOMY 
FORD,EXPEDITION-V8,FULL-SIZE SUV
FORD,TRANSIT CONNECT WAGON,VAN
FORD,F450 SUPER DUTY,FULL-SIZE TRUCK
FORD,F150 SUPER CAB,FULL-SIZE TRUCK
FORD,FUSION ENERGI,FULL-SIZE SEDAN
FORD,BRONCO SPORT,COMPACT SUV
FORD,C-MAX HYBRID,ECONOMY 
FORD,EXPEDITION MAX,FULL-SIZE SUV
FORD,FUSION-4 CYL.,FULL-SIZE SEDAN
FORD,TRANSIT CONNECT CARGO,VAN
FORD,EXPEDITION EL-V8,FULL-SIZE SUV
FORD,SUPER DUTY F-350 SRW,FULL-SIZE TRUCK
FORD,C-MAX ENERGI,ECONOMY 
FORD,MUSTANG MACH-E,FULL-SIZE SEDAN
FORD,TAURUS-V6,FULL-SIZE SEDAN
FORD,TRANSIT PASSENGER WAGON,VAN
FORD,RANGER-V6,MID-SIZE TRUCK
FORD,SUPER DUTY F-250 SRW,FULL-SIZE TRUCK
FORD,MAVERICK,FULL-SIZE TRUCK
FORD,OPTIMA HYBRID,
FORD,MEDIUM DUTY CARGO VANS,VAN
Ford,ECONOLINE WAGON,VAN
FORD,TRANSIT 350,VAN
FORD,F350 SUPER DUTY-V8,FULL-SIZE TRUCK
Ford,FOCUS-4 CYL.,ECONOMY 
FORD,FUSION-V6,FULL-SIZE SEDAN
GENESIS,G80,FULL-SIZE SEDAN
GENESIS,G70,FULL-SIZE SEDAN
GENESIS,GV80,MID-SIZE SUV
GMC,TERRAIN,FULL-SIZE SUV
GMC,SIERRA 1500,FULL-SIZE TRUCK
GMC,ACADIA,MID-SIZE SUV
GMC,CANYON,MID-SIZE TRUCK
GMC,YUKON,FULL-SIZE SUV
GMC,YUKON XL,FULL-SIZE SUV
GMC,SIERRA 1500 LIMITED,FULL-SIZE TRUCK
GMC,ACADIA LIMITED,MID-SIZE SUV
GMC,SIERRA 2500 HD,FULL-SIZE TRUCK
GMC,DENALI,FULL-SIZE SUV
GMC,MEDIUM DUTY CARGO VANS,VAN
GMC,SAVANA CARGO VAN,VAN
GMC,G2500 VAN,VAN
GMC,SIERRA 2500HD,FULL-SIZE TRUCK
GMC,CANYON CREW CAB,MID-SIZE TRUCK
GMC,SIERRA 1500 CREW CAB,FULL-SIZE TRUCK
GMC,SIERRA 1500 EXTENDED CAB,FULL-SIZE TRUCK
GMC,YUKON XL 1500,FULL-SIZE SUV
HONDA,CIVIC,MEDIUM SEDAN
HONDA,ACCORD,FULL-SIZE SEDAN
HONDA,CR-V,MID-SIZE SUV
HONDA,CIVIC SEDAN,MEDIUM SEDAN
HONDA,HR-V,COMPACT SUV
HONDA,ACCORD SEDAN,FULL-SIZE SEDAN
HONDA,PILOT,FULL-SIZE SUV
HONDA,FIT,COMPACT SUV
HONDA,ODYSSEY,VAN
HONDA,CIVIC HATCHBACK,ECONOMY 
HONDA,HR-V 2WD,COMPACT SUV
HONDA,PILOT-V6,FULL-SIZE SUV
HONDA,CR-V-4 CYL.,MID-SIZE SUV
HONDA,PILOT 2WD,FULL-SIZE SUV
HONDA,CR-V 2WD,MID-SIZE SUV
HONDA,CIVIC COUPE,ECONOMY 
HONDA,CIVIC SDN,MEDIUM SEDAN
HONDA,ACCORD SDN,FULL-SIZE SEDAN
HONDA,FIT-4 CYL.,COMPACT SUV
HONDA,ACCORD-4 CYL.,FULL-SIZE SEDAN
HONDA,CIVIC-4 CYL.,MEDIUM SEDAN
HONDA,CROSSTOUR,MID-SIZE SUV
HONDA,RIDGELINE,FULL-SIZE TRUCK
HONDA,ACCORD-V6,FULL-SIZE SEDAN
HONDA,ACCORD HYBRID,FULL-SIZE SEDAN
HONDA,ACCORD COUPE,FULL-SIZE SEDAN
HONDA,CR-V HYBRID,MID-SIZE SUV
HONDA,CIVIC SI SEDAN,MEDIUM SEDAN
HONDA,HR-V AWD,MID-SIZE SUV
HONDA,CIVIC CPE,MEDIUM SEDAN
HONDA,ODYSSEY-V6,VAN
Honda,ACCORD CPE,FULL-SIZE SEDAN
HONDA,ACCORD CROSSTOUR-V6,
HONDA,CIVIC HYBRID,MEDIUM SEDAN
HYUNDAI,ELANTRA,MEDIUM SEDAN
HYUNDAI,SONATA,FULL-SIZE SEDAN
HYUNDAI,TUCSON,MID-SIZE SUV
HYUNDAI,SANTA FE-4 CYL.,FULL-SIZE SUV
HYUNDAI,ACCENT,ECONOMY 
HYUNDAI,SANTA FE,FULL-SIZE SUV
HYUNDAI,KONA,COMPACT SUV
HYUNDAI,VELOSTER,ECONOMY 
HYUNDAI,TUCSON 2WD,MID-SIZE SUV
HYUNDAI,SANTA FE SPORT,FULL-SIZE SUV
HYUNDAI,SANTA FE-V6,FULL-SIZE SUV
HYUNDAI,VENUE,ECONOMY 
HYUNDAI,ELANTRA GT,MEDIUM SEDAN
HYUNDAI,GENESIS,FULL-SIZE SEDAN
HYUNDAI,KONA 2WD,COMPACT SUV
HYUNDAI,SANTA FE 2WD,FULL-SIZE SUV
HYUNDAI,PALISADE,FULL-SIZE SUV
HYUNDAI,PALISADE 2WD,FULL-SIZE SUV
HYUNDAI,SONATA-4 CYL.,FULL-SIZE SEDAN
HYUNDAI,SANTA FE XL,FULL-SIZE SUV
HYUNDAI,TUCSON-4 CYL.,MID-SIZE SUV
HYUNDAI,GENESIS-V8,FULL-SIZE SEDAN
HYUNDAI,SONATA HYBRID,FULL-SIZE SEDAN
HYUNDAI,ELANTRA-4 CYL.,MEDIUM SEDAN
HYUNDAI,TUCSON AWD,MID-SIZE SUV
HYUNDAI,GENESIS COUPE,FULL-SIZE SEDAN
HYUNDAI,PALISADE AWD,FULL-SIZE SUV
HYUNDAI,TUCSON HYBRID,MID-SIZE SUV
HYUNDAI,GENESIS-V6,FULL-SIZE SEDAN
HYUNDAI,VELOSTER-4 CYL.,ECONOMY 
HYUNDAI,GENESIS-4 CYL.,MEDIUM SEDAN
INFINITI,Q50,MEDIUM SEDAN
INFINITI,QX60,MID-SIZE SUV
INFINITI,QX30,COMPACT SUV
INFINITI,QX50,MID-SIZE SUV
INFINITI,QX70,FULL-SIZE SUV
INFINITI,Q60,FULL-SIZE SEDAN
INFINITI,JX35,COMPACT SUV
INFINITI,QX80,FULL-SIZE SUV
INFINITI,G37,MEDIUM SEDAN
INFINITI,G37-V6,MEDIUM SEDAN
INFINITI,Q40,MEDIUM SEDAN
INFINITI,QX56-V8,MID-SIZE SUV
INFINITI,FX,MID-SIZE SUV
INFINITI,G,MEDIUM SEDAN
INFINITI,Q70,FULL-SIZE SEDAN
INFINITI,M37-V6,FULL-SIZE SEDAN
INFINITI,QX,FULL-SIZE SUV
INFINITI,G37 COUPE,MEDIUM SEDAN
INFINITI,EX35-V6,MID-SIZE SUV
INFINITI,G25-V6,MEDIUM SEDAN
INFINITI,FX-V6/V8,MID-SIZE SUV
JAGUAR,XE,MEDIUM SEDAN
JAGUAR,F-PACE,MID-SIZE SUV
JAGUAR,XF,MEDIUM SEDAN
JAGUAR,XJ8,FULL-SIZE SEDAN
JEEP,CHEROKEE,FULL-SIZE SUV
JEEP,GRAND CHEROKEE,FULL-SIZE SUV
Jeep,COMPASS,MID-SIZE SUV
JEEP,RENEGADE,COMPACT SUV
JEEP,WRANGLER,COMPACT SUV
JEEP,PATRIOT,MID-SIZE SUV
JEEP,WRANGLER UNLIMITED,MID-SIZE SUV
JEEP,PATRIOT-4 CYL.,MID-SIZE SUV
JEEP,GLADIATOR,MID-SIZE TRUCK
JEEP,COMPASS-4 CYL.,MID-SIZE SUV
JEEP,WRANGLER-V6,COMPACT SUV
JEEP,RENEGADE 2WD,COMPACT SUV
